Level,Date and Time,Source,Event ID,Task Category,Description
Information,12/3/2023 2:22:27 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-12-03 22:22:27.195
ProcessGuid: {b5ad183e-fbff-656c-4800-000000000600}
ProcessId: 3460
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
Information,12/3/2023 2:22:01 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-12-03 22:22:01.241
ProcessGuid: {b5ad183e-ff88-656c-7801-000000000600}
ProcessId: 3920
Image: C:\Windows\System32\taskhostw.exe
User: WINDOWS102\vboxuser"
Information,12/3/2023 2:22:00 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-12-03 22:22:00.574
ProcessGuid: {b5ad183e-ff88-656c-7a01-000000000600}
ProcessId: 8236
Image: C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.2905_none_7dd39c4c7cb9dfa0\TiWorker.exe
FileVersion: 10.0.19041.2905 (WinBuild.160101.0800)
Description: Windows Modules Installer Worker
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: TiWorker.exe
CommandLine: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.2905_none_7dd39c4c7cb9dfa0\TiWorker.exe -Embedding
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {b5ad183e-fbfc-656c-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=CA6C5A7558DEFB4CBE1E64C706A78D83C39DB4F2789C08882F0BE9F2F765AED1
ParentProcessGuid: {b5ad183e-fbfc-656c-0d00-000000000600}
ParentProcessId: 808
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/3/2023 2:22:00 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-12-03 22:22:00.517
ProcessGuid: {b5ad183e-ff88-656c-7901-000000000600}
ProcessId: 2832
Image: C:\Windows\servicing\TrustedInstaller.exe
FileVersion: 10.0.19041.1741 (WinBuild.160101.0800)
Description: Windows Modules Installer
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: TrustedInstaller.exe
CommandLine: C:\Windows\servicing\TrustedInstaller.exe
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {b5ad183e-fbfc-656c-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=7F0E3E2682A24A6B27484226CC0C7B30F837EA08B01F82C7B7AC094BF0A88CE5
ParentProcessGuid: {b5ad183e-fbfc-656c-0b00-000000000600}
ParentProcessId: 676
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/3/2023 2:22:00 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-12-03 22:22:00.480
ProcessGuid: {b5ad183e-ff88-656c-7801-000000000600}
ProcessId: 3920
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.19041.1865 (WinBuild.160101.0800)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe Install $(Arg0)
CurrentDirectory: C:\Windows\system32\
User: WINDOWS102\vboxuser
LogonGuid: {b5ad183e-fc01-656c-f63a-030000000000}
LogonId: 0x33AF6
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=E63709209D09BC0247E785F075DDB28A98C348206109E2B8BA321AD958402728
ParentProcessGuid: {b5ad183e-fbfd-656c-1f00-000000000600}
ParentProcessId: 1412
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/3/2023 2:22:00 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-12-03 22:22:00.479
ProcessGuid: {b5ad183e-ff88-656c-7701-000000000600}
ProcessId: 8220
Image: C:\Windows\System32\taskhostw.exe
User: NT AUTHORITY\SYSTEM"
Information,12/3/2023 2:22:00 PM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-12-03 22:22:00.447
ProcessGuid: {b5ad183e-ff88-656c-7601-000000000600}
ProcessId: 8260
Image: C:\Windows\System32\taskhostw.exe
User: WINDOWS102\vboxuser"
Information,12/3/2023 2:22:00 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-12-03 22:22:00.427
ProcessGuid: {b5ad183e-ff88-656c-7701-000000000600}
ProcessId: 8220
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.19041.1865 (WinBuild.160101.0800)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe -RegisterDevice -AccountChange
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {b5ad183e-fbfc-656c-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=E63709209D09BC0247E785F075DDB28A98C348206109E2B8BA321AD958402728
ParentProcessGuid: {b5ad183e-fbfd-656c-1f00-000000000600}
ParentProcessId: 1412
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/3/2023 2:22:00 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-12-03 22:22:00.368
ProcessGuid: {b5ad183e-ff88-656c-7601-000000000600}
ProcessId: 8260
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.19041.1865 (WinBuild.160101.0800)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe -RegisterUserDevice -NewAccount
CurrentDirectory: C:\Windows\system32\
User: WINDOWS102\vboxuser
LogonGuid: {b5ad183e-fc01-656c-f63a-030000000000}
LogonId: 0x33AF6
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=E63709209D09BC0247E785F075DDB28A98C348206109E2B8BA321AD958402728
ParentProcessGuid: {b5ad183e-fbfd-656c-1f00-000000000600}
ParentProcessId: 1412
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
ParentUser: NT AUTHORITY\SYSTEM"
Information,12/3/2023 2:21:56 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-12-03 22:21:56.229
ProcessGuid: {b5ad183e-ff84-656c-7501-000000000600}
ProcessId: 8692
Image: C:\Windows\System32\svchost.exe
FileVersion: 10.0.19041.1806 (WinBuild.160101.0800)
Description: Host Process for Windows Services
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: svchost.exe
CommandLine: C:\Windows\system32\svchost.exe -k appmodel -p -s camsvc
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {b5ad183e-fbfc-656c-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=ADD683A6910ABBBF0E28B557FAD0BA998166394932AE2ACA069D9AA19EA8FE88
ParentProcessGuid: {b5ad183e-fbfc-656c-0b00-000000000600}
ParentProcessId: 676
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM"
